NIS,NIS_code,unemployed,foreigners,euforeigners,noneuforeigners,degree,bornabroad,borneu,bornnoneu,density,age,NL,FR,Reg_NL,income
44045,44045,0.0386,0.0278,0.0242,0.0036,0.238,0.0535,0.0416,0.0119,159.71,41.629401851,Moerbeke (Gent),Moerbeke (Gand),Vlaams Gewest,18031
44048,44048,0.0254,0.016,0.0107,0.0053,0.3229,0.0342,0.0168,0.0174,320.04,42.2992652,Nazareth,Nazareth,Vlaams Gewest,19322
44049,44049,0.0257,0.0178,0.01,0.0079,0.322,0.0289,0.0136,0.0153,230.33,40.937927218,Nevele,Nevele,Vlaams Gewest,18367
44052,44052,0.0275,0.0101,0.0054,0.0047,0.3297,0.0233,0.0102,0.0132,310.13,41.303504983,Oosterzele,Oosterzele,Vlaams Gewest,19360
44064,44064,0.0282,0.034,0.0249,0.0091,0.5206,0.0638,0.0341,0.0297,584.99,43.916626681,Sint-Martens-Latem,Sint-Martens-Latem,Vlaams Gewest,25375
44072,44072,0.0423,0.0151,0.0087,0.0064,0.2145,0.0332,0.0154,0.0179,362.41,43.00359338,Waarschoot,Waarschoot,Vlaams Gewest,17590
44073,44073,0.0475,0.0388,0.0304,0.0084,0.221,0.068,0.0451,0.0229,209.51,42.372522799,Wachtebeke,Wachtebeke,Vlaams Gewest,17702
44080,44080,0.0292,0.013,0.0086,0.0044,0.2654,0.0253,0.0138,0.0115,210.72,43.454998176,Zomergem,Zomergem,Vlaams Gewest,17980
44081,44081,0.0316,0.0174,0.0102,0.0072,0.2583,0.0281,0.0132,0.0149,465.2,40.61811659,Zulte,Zulte,Vlaams Gewest,17529
46003,46003,0.0438,0.0264,0.0155,0.0109,0.2319,0.0512,0.0246,0.0267,310.21,41.811202104,Beveren (Sint-Niklaas),Beveren (Saint-Nicolas),Vlaams Gewest,18856
46013,46013,0.0431,0.0294,0.0167,0.0128,0.2343,0.0514,0.021,0.0304,478.52,41.157511465,Kruibeke,Kruibeke,Vlaams Gewest,18015
46014,46014,0.0534,0.0549,0.016,0.0389,0.2562,0.0919,0.0195,0.0725,587.03,39.732169736,Lokeren,Lokeren,Vlaams Gewest,17088
46021,46021,0.0596,0.058,0.0212,0.0367,0.2509,0.1075,0.0279,0.0795,867.99,41.567219979,Sint-Niklaas (Sint-Niklaas),Saint-Nicolas (Saint-Nicolas),Vlaams Gewest,16792
46020,46020,0.0346,0.0338,0.0243,0.0095,0.242,0.0669,0.0401,0.0267,342.12,40.64333956,Sint-Gillis-Waas,Sint-Gillis-Waas,Vlaams Gewest,17955
46024,46024,0.0413,0.0379,0.0305,0.0075,0.2155,0.0696,0.0512,0.0185,389.48,41.526454743,Stekene,Stekene,Vlaams Gewest,17534
46025,46025,0.0549,0.0417,0.0169,0.0248,0.2493,0.0851,0.0221,0.063,716.11,40.092818807,Temse,Tamise,Vlaams Gewest,17559
42003,42003,0.0369,0.0121,0.0077,0.0045,0.225,0.0285,0.015,0.0135,385.72,41.503262431,Berlare,Berlare,Vlaams Gewest,18013
42004,42004,0.0349,0.0167,0.0102,0.0065,0.2758,0.0319,0.0126,0.0193,561.63,41.985379439,Buggenhout,Buggenhout,Vlaams Gewest,19280
42008,42008,0.048,0.0299,0.0126,0.0172,0.2124,0.0592,0.0179,0.0413,602.28,40.893970735,Hamme (Dendermonde),Hamme (Termonde),Vlaams Gewest,16604
42010,42010,0.0307,0.012,0.0067,0.0053,0.2953,0.026,0.0116,0.0144,381.03,41.981231097,Laarne,Laarne,Vlaams Gewest,19357
42011,42011,0.0348,0.024,0.0113,0.0127,0.252,0.0437,0.0139,0.0298,678.66,41.541566828,Lebbeke,Lebbeke,Vlaams Gewest,17846
42006,42006,0.0452,0.0253,0.0107,0.0146,0.2506,0.0534,0.0164,0.037,796.02,42.412502012,Dendermonde,Termonde,Vlaams Gewest,18048
42023,42023,0.0358,0.029,0.0146,0.0144,0.3272,0.0499,0.0202,0.0298,329.45,42.205453539,Waasmunster,Waasmunster,Vlaams Gewest,19578
42025,42025,0.0468,0.0313,0.0108,0.0205,0.2544,0.058,0.0156,0.0424,652.18,42.226841536,Wetteren,Wetteren,Vlaams Gewest,18059
42026,42026,0.036,0.0174,0.0089,0.0084,0.25,0.0312,0.0135,0.0177,494.19,42.051327283,Wichelen,Wichelen,Vlaams Gewest,18561
42028,42028,0.0482,0.0477,0.0193,0.0284,0.2085,0.0897,0.0235,0.0662,628.55,40.168253591,Zele,Zele,Vlaams Gewest,16062
