NIS,NIS_code,unemployed,foreigners,euforeigners,noneuforeigners,degree,bornabroad,borneu,bornnoneu,density,age,NL,FR,Reg_NL,income
23102,23102,0.061,0.1093,0.0769,0.0324,0.3713,0.1697,0.0697,0.1,1752.76,41.783541271,Wemmel,Wemmel,Vlaams Gewest,20414
23103,23103,0.0427,0.2235,0.1877,0.0358,0.5203,0.2535,0.163,0.0905,2011.37,40.715549785,Wezembeek-Oppem,Wezembeek-Oppem,Vlaams Gewest,20800
23094,23094,0.0496,0.1953,0.1409,0.0544,0.3445,0.2463,0.1167,0.1297,1133.04,39.963896762,Zaventem,Zaventem,Vlaams Gewest,17804
23096,23096,0.0262,0.0248,0.0183,0.0065,0.3604,0.0465,0.023,0.0236,513.37,41.073998911,Zemst,Zemst,Vlaams Gewest,21905
24001,24001,0.0407,0.0232,0.0156,0.0076,0.2845,0.0423,0.0225,0.0198,458.24,43.900324357,Aarschot,Aarschot,Vlaams Gewest,18823
24007,24007,0.0309,0.0162,0.0109,0.0054,0.2768,0.0286,0.0149,0.0137,559.24,42.601817035,Begijnendijk,Begijnendijk,Vlaams Gewest,19275
24008,24008,0.03,0.0182,0.0095,0.0087,0.2628,0.0294,0.0128,0.0166,164.02,42.279546953,Bekkevoort,Bekkevoort,Vlaams Gewest,17914
24009,24009,0.0274,0.0624,0.0467,0.0157,0.3923,0.0898,0.0477,0.0421,321.71,40.371980989,Bertem,Bertem,Vlaams Gewest,21388
24011,24011,0.0223,0.0259,0.0171,0.0087,0.4559,0.0489,0.0241,0.0248,239.29,41.210316349,Bierbeek,Bierbeek,Vlaams Gewest,23033
24014,24014,0.0279,0.0275,0.0193,0.0082,0.3607,0.0494,0.0248,0.0246,638.04,42.072450675,Boortmeerbeek,Boortmeerbeek,Vlaams Gewest,21250
24016,24016,0.0204,0.0195,0.0127,0.0068,0.3703,0.0411,0.0168,0.0243,250.27,40.92958528,Boutersem,Boutersem,Vlaams Gewest,20635
24020,24020,0.0463,0.0411,0.0229,0.0183,0.3025,0.0827,0.0281,0.0546,398.74,42.822011839,Diest,Diest,Vlaams Gewest,18347
24028,24028,0.0371,0.0251,0.0128,0.0123,0.201,0.0339,0.0162,0.0177,168.66,42.768498985,Geetbets,Geetbets,Vlaams Gewest,16787
24137,24137,0.0255,0.0137,0.0088,0.0049,0.3098,0.0264,0.0139,0.0124,198.35,42.119314992,Glabbeek,Glabbeek,Vlaams Gewest,19072
24033,24033,0.0302,0.0167,0.0113,0.0054,0.344,0.0369,0.0194,0.0175,464.37,41.543918985,Haacht,Haacht,Vlaams Gewest,20031
24038,24038,0.0266,0.0344,0.0204,0.014,0.4636,0.0649,0.0263,0.0386,624.52,40.4221335,Herent,Herent,Vlaams Gewest,22230
24041,24041,0.0279,0.0345,0.0224,0.012,0.3552,0.0564,0.026,0.0304,195.9,40.61882074,Hoegaarden,Hoegaarden,Vlaams Gewest,20488
24043,24043,0.0251,0.0205,0.0131,0.0074,0.4115,0.0404,0.0183,0.022,252.29,40.808179233,Holsbeek,Holsbeek,Vlaams Gewest,20939
24045,24045,0.0271,0.0695,0.057,0.0125,0.3777,0.0909,0.056,0.0349,238.93,41.020083928,Huldenberg,Huldenberg,Vlaams Gewest,20641
24048,24048,0.0339,0.0622,0.0544,0.0078,0.4191,0.0886,0.0588,0.0298,693.4,42.901593619,Keerbergen,Keerbergen,Vlaams Gewest,23753
24054,24054,0.0323,0.0206,0.0099,0.0107,0.2309,0.0288,0.0119,0.0169,159.32,43.524878086,Kortenaken,Kortenaken,Vlaams Gewest,17834
24055,24055,0.0332,0.094,0.0679,0.0262,0.3768,0.1129,0.0592,0.0537,555.03,40.736505867,Kortenberg,Kortenberg,Vlaams Gewest,20897
